ngiemboon,en,,,,
"Á nue menò mie mbùm nyì? meso? tsóte yé ngie à gÿo é té mie Z?ìge Nd?al??a ne ?kwo?o ngie à gÿo w??. Menò mie Z?ìge Nd?al??a ne ?kwo?o é té mie mbùm nyì? meso? kwo? w??, p?? mép??a l?g? ?d?’? l?’?. Áa y?? tá pi tè g?iin légÿo mmó gie pi kw?? w??.","For the flesh lusteth against the Spirit, and the Spirit against the flesh: and these are contrary the one to the other: so that ye cannot do the things that ye would. # https://www.bible.com/fr/bible/1/GAL.5.KJV #17",,,,
"Tá pi l??n ?z?í? Z?ìge Nd?al??a ne ?tsyeen g?í, mbà*lep?? té gí?e ?g?iin lésá’a g?i w??.","But if ye be led of the Spirit, ye are not under the law. # https://www.bible.com/fr/bible/1/GAL.5.KJV #18",,,,
"Mé ne ?kwa’a ?zsé menò mie mbùm nn?? nyì? meso? tsóte yé á f?a, anò pá’ le t?? pànzw? kà léfa’ mbà?a w??, anò pá’ legÿo menò ncÿ?, anò pá’ nyì? letÿ??g nt??m wé p?? nà nò mpfw??’.","Now the works of the flesh are manifest, which arethese; Adultery, fornication, uncleanness, lasciviousness, # https://www.bible.com/fr/bible/1/GAL.5.KJV #19",,,,
"Pá’ legù’te shúm ngie ee messé, pá’ leg?iin lekà?, pá’ lekua mbù, pá’ let?g melà’, pá’ leg?iin kèg??’, pá’ lecÿ??g, pá’ lefa’ p?? letyé mvfò nà k???k???, pá’ lene?é fàgte fàgte, pá’ letu? metu?.","idolatry, witchcraft, hatred, variance, emulations, wrath, strife, seditions, heresies, # https://www.bible.com/fr/bible/1/GAL.5.KJV #20",,,,
"Pá’ letÿ??g lejÿ??g nà shúm p??a, pá’ len? melù’ tà ?b??a, pá’ lecu’té nà lín???n lépf?? shúm ?gÿo menò sh??, mb?? pá’ legÿo ts?? shúm sie é s?é sie mé t?? l??n. N ka z??n shwó?ó g?í, n ge gí?e shwó?ó g?i ngie: P??a pie é gÿo y??n ntí menò té lá’ g?iin j?’ nà nò*lefù? Ssé w??.","envyings, murders, drunkenness, revellings, and such like: of the which I tell you before, as I have also toldyouin time past, that they which do such things shall not inherit the kingdom of God. # https://www.bible.com/fr/bible/1/GAL.5.KJV #21",,,,
"Tá’, menò mbò?o mie Z?ìge Nd?al??a gÿo nyì? gÿo é m??n ?gw?? lég?iin nkwò?e, ?gw?? lé?né?e nê lekág, ?gw?? lé?né?e lés?ete, ?gw?? lég?iin kw??g? nn??, ?gw?? létyé lék?éte p??a, ?gw?? lég?iin pò?o nt??m, ?gw?? lé?né?e té gw?? ngà? mepàb,","But the fruit of the Spirit is love, joy, peace, longsuffering, gentleness, goodness, faith, # https://www.bible.com/fr/bible/1/GAL.5.KJV #22",,,,
"?gw?? lép??le, ?gw?? lékú’te mbùm. Áa kwà’ nén??,*lep?? té l?’ s??n shúm w??.","meekness, temperance: against such there is no law. # https://www.bible.com/fr/bible/1/GAL.5.KJV #23",,,,
"P??a pie ée pe Y?sô Kristo léen ?gwá’ shúm tepò? sie é pó? mbùm nn?? y?b, lâ sie mbùm nn?? ?w?? z? ts???n, tá á gw?? p?? pá’ f??’ gie p?? léen ?kim mbùm nn?? ?w?? nà tÿ? nk? la.",And they that are Christ's have crucified the flesh with the affections and lusts. # https://www.bible.com/fr/bible/1/GAL.5.KJV #24,,,,
"Pá’ wege le gw?? we f??’??n foo p?? mbwo Z?ìge Nd?al??a la, pege gi?e ná ntí gie Z?ìge ?w?? ne ?ny?? wégè.","If we live in the Spirit, let us also walk in the Spirit. # https://www.bible.com/fr/bible/1/GAL.5.KJV #25",,,,
"Tà pege ?á’te nn??, tà pege tág melà’ tsets??? pege, tà pege g?iin kèg??’ tsets??? pege.","Let us not be desirous of vain glory, provoking one another, envying one another. # https://www.bible.com/fr/bible/1/GAL.5.KJV #26",,,,
"Mef?? mef??, pi l??n ?keme nyì? á ne f?a nò, pi l?g pá’ pi ne ?jú’u mbwo Z?ìge Ssé ?gÿo ngà? pi?e ná mánzsè g?ie aa nd?? nd??. Tá ?c??’? légÿo ?d?g p?? mb??lè. W??w??? ná pi w?? pi? ?b???n twó yé ?b??g? légw?? gie à ge gwe yé ts??? nkwà’te.","Brethren, if a man be overtaken in a fault, ye which are spiritual, restore such an one in the spirit of meekness; considering thyself, lest thou also be tempted. # https://www.bible.com/fr/bible/1/GAL.6.KJV #1",,,,
"Pi kaa menò mí ?bi’ ?k?éte. Pi l??n ?gÿo pú’u, mbà pi gÿ? mmó gie*lep?? Kristo ne ?z??te.","Bear ye one another's burdens, and so fulfil the law of Christ. # https://www.bible.com/fr/bible/1/GAL.6.KJV #2",,,,
"Nyì? l??n ?kwa? ngie aa mmó, té gw?? y?? mmó, mbà à sele f?te twó mbùm yé.","For if a man think himself to be something, when he is nothing, he deceiveth himself. # https://www.bible.com/fr/bible/1/GAL.6.KJV #3",,,,
"W??w??? ke ?tsa’ kwà’ mé mefà’. À l??n ?tsa’, ?gyá ngie ?gw?? nò po?o yé m?, mbà á pó? ngie anò gwaa po?o yé ?tí p?? nue ée kwà’ mefà’ mé. Tà á le gwaa po?o yé ?tí p?? pá’ à l??té m?? mefà’ ná me pets?? p??a w??,","But let every man prove his own work, and then shall he have rejoicing in himself alone, and not in another. # https://www.bible.com/fr/bible/1/GAL.6.KJV #4",,,,
á nue w??w??? g?iin léfa’ mé mefà’ mie e Ssé la c??me mbwo ye.,For every man shall bear his own burden. # https://www.bible.com/fr/bible/1/GAL.6.KJV #5,,,,
Á pó? ngie nyì? g?ie mé ne ?zí’i yé nò Ssé à gab shúm sé ?ná se nyì? g?ie à ne ?zí’i yé.,Let him that is taught in the word communicate unto him that teacheth in all good things. # https://www.bible.com/fr/bible/1/GAL.6.KJV #6,,,,
"Tà nyì? sele f?te twó mbùm yé, mé ee nt? ?gwága Ssé w??. Nyì? l??n ?bye k?? w??, mbà à ge lá’ káb p?? y??.","Be not deceived; God is not mocked: for whatsoever a man soweth, that shall he also reap. # https://www.bible.com/fr/bible/1/GAL.6.KJV #7",,,,
"À l??n ?bye shúm sie é pó? mbùm nn?? ye, mbà shúm mbùm nn?? ?w?? ge lá’ gÿo à kwé ?byé. Tá ?gw?? gie à l??n ?bye shúm sie é pó?o Z?ìge Nd?al??a, mbà Z?ìge Nd?al??a ge lá’ gÿo à g?iin le gw?? tèmì.",For he that soweth to his flesh shall of the flesh reap corruption, but he that soweth to the Spirit shall of the Spirit reap life everlasting. # https://www.bible.com/fr/bible/1/GAL.6.KJV #8,,,
"Tà pege ke ?k??a legÿo nò mbò?o, á nue pege l??n gÿo nò mbò?o ?d?g ?g?a p?? lé mvfò, mbà f??’ ge lá’ ku’, e Ssé gÿo pege lág shúm t?’.","And let us not be weary in well doing: for in due season we shall reap, if we faint not. # https://www.bible.com/fr/bible/1/GAL.6.KJV #9",,,,
"Pú’u la, pege l??n ?nyé ?g?iin shÿó, pege gÿo nò mbò?o mbwo p??a metsèm, ?t?? lelÿò ?gÿo mbwo mef?? mef?? pie pega p?? p? ?zába nt??m ná Kristo.","As we have therefore opportunity, let us do good unto allmen, especially unto them who are of the household of faith. # https://www.bible.com/fr/bible/1/GAL.6.KJV #10",,,,
Pi gyá pá’ m??n menÿ??g ?wà’ne ge fá?te fá?te. Kwà’ mè? P?l z? l?g?? pwó y???n ??we’e y??n j?’!,Ye see how large a letter I have written unto you with mine own hand. # https://www.bible.com/fr/bible/1/GAL.6.KJV #11,,,,
"P??a pie p?? s???? g?i s??? ngie pi z?í? mé pú’u g?í, ée p??a pie p?? fa’a p?? légÿo mmó gie á ge po? pà Yuda. P?? gÿo pú’u, ?ts???n ngie pà Yuda té k??e w??b ngie p?? tyé y??b p?? nà nò legwé Kristo nà tÿ? nk? w??.","As many as desire to make a fair shew in the flesh, they constrain you to be circumcised; only lest they should suffer persecution for the cross of Christ. # https://www.bible.com/fr/bible/1/GAL.6.KJV #12",,,,
"P??a pie é s???? g?i pú’u, kwà’ p??b y??b z???n fó tè kú’te*lep?? pà Yuda ntsèm w??. Tá ?ké ne ?kwo?o p?? ngie mé pú’u g?i pú’. Pú’u p?? l?g pá’ p?? gÿ? tà mé pú’u g?í, ?d?g ??á’te mvfò pà Yuda,","For neither they themselves who are circumcised keep the law; but desire to have you circumcised, that they may glory in your flesh. # https://www.bible.com/fr/bible/1/GAL.6.KJV #13",,,,
"?g?a ná mè?, mbà mmó gie á l??n ?gw?? n d?g ??á’te, á gw?? p?? pá’ C??ap??a wege Y?sô Kristo la kwé nà tÿ? nk? la. Pá’à la kwé nà tÿ? nk? lá, eshúm y??n njÿó ée lej??? mè? ?c??’ p?? pfó shúm, á g?a ná mè? n gw?? mbwo p??b, mbà mè? n déen ?kwé.","But God forbid that I should glory, save in the cross of our Lord Jesus Christ, by whom the world is crucified unto me, and I unto the world. # https://www.bible.com/fr/bible/1/GAL.6.KJV #14",,,,
"Áa mbwo Ssé*lepu’ú nyì?, kà lényé ngà? té pú’ w??, à tè k?éte. Anò gie á k?éte á gw?? pá’ nyì? léen sele ?c??’? nyì? s?é.","For in Christ Jesus neither circumcision availeth any thing, nor uncircumcision, but a new creature. # https://www.bible.com/fr/bible/1/GAL.6.KJV #15",,,,
"E Ssé ny? ngie nt??m wé ée mbò?, ?bi? ?né?e s?étè ts??? nt??m p??a metsèm pie ée gÿo jú’ w??n ntÿ?g?? we s?é, é tÿ??g? kwò m?, mb?? mbwo p??a Ssé tà mag.","And as many as walk according to this rule, peacebeon them, and mercy, and upon the Israel of God. # https://www.bible.com/fr/bible/1/GAL.6.KJV #16",,,,
"Tà fó ly??’??n, ?b???n nyì? lélá’ ?gí?e ?d?g? y??n nò ?gege w???n. Melagá f??? mie mè? n g?iin é la’te ngie mè? n gw?? p?? nyì? Y?sô.",From henceforth let no man trouble me: for I bear in my body the marks of the Lord Jesus. # https://www.bible.com/fr/bible/1/GAL.6.KJV #17,,,,
"Mef?? mef??, C??ap??a wege Y?sô Kristo ne ?gw?? né pi, á ts??? nt??m pi.*Amen.",Unto the Galatians written from Rome. # https://www.bible.com/fr/bible/1/GAL.6.KJV #18,,,,
"Y??n ?wà’ne fóo mbwo mè? p?l, e Ssé la kwo? ngie n gw?? ngà? ntúm Y?sô Kristo. Mè? n náa mbwo pi p??a Ssé pie pi ?né?e Efeso, mbà pi la záb nt??m ná Y?so Kristo, ?ké ?zsé p?? ndà’ nò yé.","Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus: # https://www.bible.com/fr/bible/1/EPH.1.KJV #1",,,,
"Tá wege Ssé mb?? C??ap??a Y?sô Kristo ne ?gw?? né pi, ?ne ?né?e s?étè nt??m pi.","gracebeto you, and peace, from God our Father, andfromthe Lord Jesus Christ. # https://www.bible.com/fr/bible/1/EPH.1.KJV #2",,,,
"!Pege nê ?gu’te Ssé Tá pà C??ap??a wege Y?sô Kristo. À la gÿo nò mbò?o ná pege, ?ná shúm mbò?o ntsèm sie éfóo tàa tÿ? né pege, ?ná pú’u, ?c?a ná pá’ à la lá’ ?temte wégè lâ Kristo,","Blessedbethe God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenlyplacesin Christ: # https://www.bible.com/fr/bible/1/EPH.1.KJV #3",,,,
"mbà à la c?a ná Kristo ?ts??’? wégè, ?d?g ?gÿo p??a pé tà fó ?nyé p?? tè ny?te njÿó pá’ pege ge gw?? mvfò yé é gw?? p??a nd?al??a, é gw?? pàtèf?a. Á la l?g pá’ à kwo?o wégè,","according as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love: # https://www.bible.com/fr/bible/1/EPH.1.KJV #4",,,,
"?záb tà ty? s?g t?’ ngie à ge c?a ná Y?sô Kristo é gÿo pege c??’ pú? pé. Á gw?? p?? we lekwo?, ?ké ?bo?o yé t?’.","having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will, # https://www.bible.com/fr/bible/1/EPH.1.KJV #5",,,,
"À la l?g? wégè ?gÿo pú? pé le gw?? gie pege ge gu’te yé ná máa nò té f??’ g?ie à la gÿo. Á la c?a ná pá’ à la temte wégà Mí? we g?ie à kwo?e yé t?’, ?cÿó g?m yégè, pú’u á gw?? kwà’ máamaa nò t?’.","to the praise of the glory of his grace, wherein he hath made us accepted in the beloved. # https://www.bible.com/fr/bible/1/EPH.1.KJV #6",,,,
"Mí? we ?w?? la l?g metse mé ?d?g ?cu’u wégè, pege ts???. E Ssé lege mef?a mégè ?náa mbwo pege. Y??n áa nò té f??’ gie e Ssé la l?g ?cÿó g?m yégè,","In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace; # https://www.bible.com/fr/bible/1/EPH.1.KJV #7",,,,
"áa fù’ gie à la náa mbwo pege tà á gy???n gy???n, ?gw? náa, ?ts??’ legyè ségè pege zsé nò.",wherein he hath abounded toward us in all wisdom and prudence, # https://www.bible.com/fr/bible/1/EPH.1.KJV #8,,,
"Áa y?? tá pege zsé mmó gie à la záb, mbà á la z??n ?gw?? p?? lely?en. Y?? mmó gw?? gie à la t?? njÿó, á po?o yé po?, á záb ngie à ge lá’ l?g? Kristo é gÿo à pumte,","having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself: # https://www.bible.com/fr/bible/1/EPH.1.KJV #9",,,,
"?gw?? ngie à f??’ ge lá’ gw?? tà ku’, yé Ssé cú’te shúm ntsèm sie ée tÿ? lepwó lâ sie ée ndùme ssé tsetsá’, é ná ntsèm ntsèm mbwo Kristo à ne sá’a p?? gílé ye.","that in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth;evenin him: # https://www.bible.com/fr/bible/1/EPH.1.KJV #10",,,,
"Peg la z???’ p?? pá’ peg l? nn?? ná Kristo, tá ?g?iin yég j?’ tsets??? p??a pie à gÿ? p?? ts???, á nue e Ssé la t?? njÿó ?ts??’? wég. Á gw?? pá’ a la záb. E Ssé pi? ?gÿo k???k??? p?? pá’ à la záb ngie à ge gÿo pú’u.","in whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will: # https://www.bible.com/fr/bible/1/EPH.1.KJV #11",,,,
"À l???n ?ts??’? wégè pú’u, le gw?? gie peg pie peg ka v?g? lézáb nt??m nà Kristo, peg ge gu’te yé Ssé á nue à gú’ t?’.","that we should be to the praise of his glory, who first trusted in Christ. # https://www.bible.com/fr/bible/1/EPH.1.KJV #12",,,,
"Á g?a ná pi gí, mbà pi ka jú’u shwó?è gie áa ye nén??, é gw?? nk?? mbò?o g?ie e Ssé ka c?a p?? m? tá ?gÿo pi ts???. Pi ka jú’ pú’u, ?záb t??m g?i ná Kristo, e Ssé cÿ?’? li?é yé ná pi, ?d?g? ?ny?? ngie pi ee p??a pé. Y?? li?é gw?? Z?ìge Nd?al??a gie à la ka’ ngie à ge náa mbwo pege.","In whom ye alsotrusted, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise, # https://www.bible.com/fr/bible/1/EPH.1.KJV #13",,,,
"A Z?ìge Nd?al??a l?g? ?gw?? zyè ssé nà fù’ gie e Ssé la cwo?te ?záb lénáa mbwo p??a pé. E Ssé l?g? ?ny?te shwó?ó wégè ngie pege ge lá’ g?iin sets?? á f??’ gie à ge lá’ pú k?ile wégè nà nò tepò?. Pá’ áa pú’u la, pege ne ?gu’te Ssé á nue à gú’ t?’.","which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory. # https://www.bible.com/fr/bible/1/EPH.1.KJV #14",,,,
"Pá’ mè? n ka jú’ ngie pi ne ?k?i’i ?zába nt??m g?i ná C??ap??a Y?sô, ?gí?e ?jú’ ngie pi ne ?kwo?o p??a Ssé métsèm lá,","Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints, # https://www.bible.com/fr/bible/1/EPH.1.KJV #15",,,,
"mè? n gee f??’ ntsèm ?n? s?í?te Ssé, ?bi?e síe yé nà twó sí.","cease not to give thanks for you, making mention of you in my prayers; # https://www.bible.com/fr/bible/1/EPH.1.KJV #16",,,,
"Mè? n ne s?í?te e Ssé C??ap??a wege Y?sô Kristo, yé Tá g?ie à g?iin legú’, ngie à náa g?i zsé nò, ?náa g?i shÿó lél?g ?cwo?o ?zsé yé tà shwó?ó nò.","that the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him: # https://www.bible.com/fr/bible/1/EPH.1.KJV #17",,,,
"Mè? n gi?é ne s?í?te yé, ngie à gÿo nt??m g?i zsé ky??’ yé légw?? gie pi ge cwo?o zsé mmó gie à l???n ?tó?o g?i ?tí y??. Mb?? pá’ pi ge zsé máamaa fù’u mbò?o gie pia pets?? p??a pie à la ts??’? w??b ge gÿo k?é, á gw?? mmó gie à la cwo?te ?záb né pi.","the eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints, # https://www.bible.com/fr/bible/1/EPH.1.KJV #18",,,,
"Mè? n gi?é ne s?í?te yé ngie à gÿo pi zsé ngie met?? mé pú fá? ?c?a met?? ntsèm, mb?? ngie à gÿo pi zsé pá’ m?? met?? tóonte wégè pàzáb nt??m ná ye pú’u.","and whatisthe exceeding greatness of his power to us-ward who believe, according to the working of his mighty power, # https://www.bible.com/fr/bible/1/EPH.1.KJV #19",,,,
"M?? met?? ée mie e Ssé la l?g ?gÿo Kristo zíme tsets??? mepfó, á l?g ?gÿo á kw??’ né tÿ? lepwó ?né?e nà gwo?ó pwó yé, ye t??.","which he wrought in Christ, when he raised him from the dead, and sethimat his own right hand in the heavenlyplaces, # https://www.bible.com/fr/bible/1/EPH.1.KJV #20",,,,
"Á gw?? j?’ó ?d?g? ?bú ?c?a ngwò?*mecÿ??’ Ssé pâ mefù? p??b mb?? sets?? shúm sie é g?iin met?? tÿ? lepwó. Á c?a mânyì? ntsèm tà pá’ angà? l??n ?gw?? p?? w?? w???, kà p?? ná y??n kème njÿó w???, kà p?? ná gie á ge lá’ tá tó w???.","far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come: # https://www.bible.com/fr/bible/1/EPH.1.KJV #21",,,,
"E Ssé léen ?né? shúm ntsèm á mbwo yé. E Ssé la gw?? tà ?né?e k???k??? nà mbwo mé, ?gÿo á gw?? mbwo cú’tè p??a Ssé, ?gw?? twó, légw?? gie p??a cú’tè ge ne jú’u ncwò yé.","and hath put allthingsunder his feet, and gave himto bethe head over allthingsto the church, # https://www.bible.com/fr/bible/1/EPH.1.KJV #22",,,,
"Acú’tè p??a Ssé ée mbùm nn?? Kristo. Áa ts??? cú’tè p??a pé f??’ ntsèm, yé g?ie à p? ?gw?? j?’ ntsèm ts??? njÿó.","which is his body, the fulness of him that filleth all in all. # https://www.bible.com/fr/bible/1/EPH.1.KJV #23",,,,
"Pi laa ts?? f??’ ?gw?? mbwo Ssé, mbà pi léen ?kwé ?tí pá’ pi láa ngà?a mef?a ?gí? ?gw?? pàgÿo menò tepò?.","And youhath he quickened, who were dead in trespasses and sins; # https://www.bible.com/fr/bible/1/EPH.2.KJV #1",,,,
"Pi laa f??’o ?n? ?gÿo p?? y?? ntí menò. Pi la ne ?gi?e pá’ p??a pie ée ts??? y??n njÿó ne ?gi?e pú’u, ?n? ?jú’u ncwò fù?*messé tepò? gwie à sá’a*messé tepò? mie ée tÿ? ts??? fÿág. Yé z? aa f??’??n ?ne ?tsóte p??a pie p?? l?’? lé jú’ ncwò Ssé, p?? ne ?gÿo menò tepò?.","wherein in time past ye walked according to the course of this world, according to the prince of the power of the air, the spirit that now worketh in the children of disobedience: # https://www.bible.com/fr/bible/1/EPH.2.KJV #2",,,,
"Pege metsèm ka z??n ?gw?? p?? pá’ p??b, ?ne ?gÿo p?? mmó gie nt??m nyì? meso? ne ?ts???n, éshúm sie nt??m nyì? meso? lâ nkwa?á wé tyé m?, mbà mé la zyé wégè pege gw?? p?? p??a pie e Ssé ne ?gyá?a ló? ná p??b pá’ à ne ?gyá?a ló? ná pets?? p??a.","among whom also we all had our conversation in times past in the lusts of our flesh, fulfilling the desires of the flesh and of the mind; and were by nature the children of wrath, even as others. # https://www.bible.com/fr/bible/1/EPH.2.KJV #3",,,,
"Tá’ e Ssé k? ?ts???n mezì?e p??a meso? t?’. Á la pi? ?c?a p?? nà ntí gie à la l?g ?kwo?o wégè,","But God, who is rich in mercy, for his great love wherewith he loved us, # https://www.bible.com/fr/bible/1/EPH.2.KJV #4",,,,
"á gÿo pega Kristo pú ?gí?e ?gw?? wó, tà mb?? pá’ pege laa mbwo ye ts?? f??’, mbà pege léen ?kwé ?tí mef??a mégè. À la l?g p?? pò?o nt??m yé ?gÿo pege ts???.","even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;) # https://www.bible.com/fr/bible/1/EPH.2.KJV #5",,,,
"Pá’ pege léen ?da nn?? ná Y?sô Kristo la, à la pú ?zíme wégà p?? nà legwé, ?gí?e ?gÿo peg c??me nzèm Y?sô Kristo, pega p?? pú ?kw??’ ?né?e tÿ? lepwó ?n? sá’a k???k??? w??.","and hath raisedusup together, and madeussit together in heavenlyplacesin Christ Jesus: # https://www.bible.com/fr/bible/1/EPH.2.KJV #6",,,,
